store_id,date,hour_of_day,transaction_count,is_weekend,local_event
STR-001,2025-03-23,14,10,True,
STR-001,2025-03-23,15,8,True,
STR-001,2025-03-23,16,7,True,
STR-001,2025-03-23,17,11,True,
STR-001,2025-03-23,18,13,True,
STR-001,2025-03-23,19,15,True,
STR-001,2025-03-23,20,13,True,
STR-001,2025-03-23,21,11,True,
STR-001,2025-03-23,22,4,True,
STR-001,2025-03-23,23,4,True,
STR-001,2025-03-24,0,0,False,
STR-001,2025-03-24,1,0,False,
STR-001,2025-03-24,2,0,False,
STR-001,2025-03-24,3,0,False,
STR-001,2025-03-24,4,0,False,
STR-001,2025-03-24,5,0,False,
STR-001,2025-03-24,6,1,False,
STR-001,2025-03-24,7,2,False,
STR-001,2025-03-24,8,0,False,
STR-001,2025-03-24,9,3,False,
STR-001,2025-03-24,10,7,False,
STR-001,2025-03-24,11,12,False,
STR-001,2025-03-24,12,3,False,
STR-001,2025-03-24,13,11,False,
STR-001,2025-03-24,14,12,False,
STR-001,2025-03-24,15,5,False,
STR-001,2025-03-24,16,5,False,
STR-001,2025-03-24,17,12,False,
STR-001,2025-03-24,18,13,False,
STR-001,2025-03-24,19,10,False,
STR-001,2025-03-24,20,15,False,
STR-001,2025-03-24,21,13,False,
STR-001,2025-03-24,22,2,False,
STR-001,2025-03-24,23,1,False,
STR-001,2025-03-25,0,0,False,
STR-001,2025-03-25,1,0,False,
STR-001,2025-03-25,2,0,False,
STR-001,2025-03-25,3,0,False,
STR-001,2025-03-25,4,0,False,
STR-001,2025-03-25,5,0,False,
STR-001,2025-03-25,6,1,False,
STR-001,2025-03-25,7,5,False,
STR-001,2025-03-25,8,1,False,
STR-001,2025-03-25,9,7,False,
STR-001,2025-03-25,10,6,False,
STR-001,2025-03-25,11,6,False,
STR-001,2025-03-25,12,7,False,
STR-001,2025-03-25,13,11,False,
STR-001,2025-03-25,14,6,False,
STR-001,2025-03-25,15,9,False,
STR-001,2025-03-25,16,5,False,
STR-001,2025-03-25,17,5,False,
STR-001,2025-03-25,18,16,False,
STR-001,2025-03-25,19,5,False,
STR-001,2025-03-25,20,11,False,
STR-001,2025-03-25,21,7,False,
STR-001,2025-03-25,22,4,False,
STR-001,2025-03-25,23,1,False,
STR-001,2025-03-26,0,0,False,
STR-001,2025-03-26,1,0,False,
STR-001,2025-03-26,2,0,False,
STR-001,2025-03-26,3,0,False,
STR-001,2025-03-26,4,0,False,
STR-001,2025-03-26,5,0,False,
STR-001,2025-03-26,6,3,False,
STR-001,2025-03-26,7,2,False,
STR-001,2025-03-26,8,5,False,
STR-001,2025-03-26,9,10,False,
STR-001,2025-03-26,10,2,False,
STR-001,2025-03-26,11,7,False,
STR-001,2025-03-26,12,11,False,
STR-001,2025-03-26,13,7,False,
STR-001,2025-03-26,14,6,False,
STR-001,2025-03-26,15,8,False,
STR-001,2025-03-26,16,2,False,
STR-001,2025-03-26,17,5,False,
STR-001,2025-03-26,18,11,False,
STR-001,2025-03-26,19,7,False,
STR-001,2025-03-26,20,9,False,
STR-001,2025-03-26,21,7,False,
STR-001,2025-03-26,22,3,False,
STR-001,2025-03-26,23,1,False,
STR-001,2025-03-27,0,0,False,
STR-001,2025-03-27,1,0,False,
STR-001,2025-03-27,2,0,False,
STR-001,2025-03-27,3,0,False,
STR-001,2025-03-27,4,0,False,
STR-001,2025-03-27,5,0,False,
STR-001,2025-03-27,6,3,False,
STR-001,2025-03-27,7,2,False,
STR-001,2025-03-27,8,5,False,
STR-001,2025-03-27,9,11,False,
STR-001,2025-03-27,10,7,False,
STR-001,2025-03-27,11,10,False,
STR-001,2025-03-27,12,15,False,
STR-001,2025-03-27,13,16,False,
STR-001,2025-03-27,14,9,False,
STR-001,2025-03-27,15,6,False,
STR-001,2025-03-27,16,8,False,
STR-001,2025-03-27,17,5,False,
STR-001,2025-03-27,18,17,False,
STR-001,2025-03-27,19,17,False,
STR-001,2025-03-27,20,8,False,
STR-001,2025-03-27,21,11,False,
STR-001,2025-03-27,22,3,False,
STR-001,2025-03-27,23,0,False,
STR-001,2025-03-28,0,0,False,
STR-001,2025-03-28,1,0,False,
STR-001,2025-03-28,2,0,False,
STR-001,2025-03-28,3,0,False,
STR-001,2025-03-28,4,0,False,
STR-001,2025-03-28,5,0,False,
STR-001,2025-03-28,6,1,False,
STR-001,2025-03-28,7,3,False,
STR-001,2025-03-28,8,5,False,
STR-001,2025-03-28,9,8,False,
STR-001,2025-03-28,10,7,False,
STR-001,2025-03-28,11,6,False,
STR-001,2025-03-28,12,15,False,
STR-001,2025-03-28,13,7,False,
STR-001,2025-03-28,14,7,False,
STR-001,2025-03-28,15,6,False,
STR-001,2025-03-28,16,5,False,
STR-001,2025-03-28,17,14,False,
STR-001,2025-03-28,18,7,False,
STR-001,2025-03-28,19,17,False,
STR-001,2025-03-28,20,11,False,
STR-001,2025-03-28,21,9,False,
STR-001,2025-03-28,22,3,False,
STR-001,2025-03-28,23,3,False,
STR-001,2025-03-29,0,0,True,
STR-001,2025-03-29,1,0,True,
STR-001,2025-03-29,2,0,True,
STR-001,2025-03-29,3,0,True,
STR-001,2025-03-29,4,0,True,
STR-001,2025-03-29,5,0,True,
STR-001,2025-03-29,6,1,True,
STR-001,2025-03-29,7,5,True,
STR-001,2025-03-29,8,8,True,
STR-001,2025-03-29,9,6,True,
STR-001,2025-03-29,10,9,True,
STR-001,2025-03-29,11,3,True,
STR-001,2025-03-29,12,13,True,
STR-001,2025-03-29,13,11,True,
STR-001,2025-03-29,14,8,True,
STR-001,2025-03-29,15,5,True,
STR-001,2025-03-29,16,8,True,
STR-001,2025-03-29,17,8,True,
STR-001,2025-03-29,18,19,True,
STR-001,2025-03-29,19,21,True,
STR-001,2025-03-29,20,9,True,
STR-001,2025-03-29,21,7,True,
STR-001,2025-03-29,22,5,True,
STR-001,2025-03-29,23,3,True,
STR-001,2025-03-30,0,0,True,
STR-001,2025-03-30,1,0,True,
STR-001,2025-03-30,2,0,True,
STR-001,2025-03-30,3,0,True,
STR-001,2025-03-30,4,0,True,
STR-001,2025-03-30,5,0,True,
STR-001,2025-03-30,6,2,True,
STR-001,2025-03-30,7,2,True,
STR-001,2025-03-30,8,3,True,
STR-001,2025-03-30,9,9,True,
STR-001,2025-03-30,10,9,True,
STR-001,2025-03-30,11,10,True,
STR-001,2025-03-30,12,10,True,
STR-001,2025-03-30,13,11,True,
STR-001,2025-03-30,14,8,True,
STR-001,2025-03-30,15,8,True,
STR-001,2025-03-30,16,9,True,
STR-001,2025-03-30,17,4,True,
STR-001,2025-03-30,18,14,True,
STR-001,2025-03-30,19,14,True,
STR-001,2025-03-30,20,12,True,
STR-001,2025-03-30,21,10,True,
STR-001,2025-03-30,22,3,True,
STR-001,2025-03-30,23,0,True,
STR-001,2025-03-31,0,0,False,
STR-001,2025-03-31,1,0,False,
STR-001,2025-03-31,2,0,False,
STR-001,2025-03-31,3,0,False,
STR-001,2025-03-31,4,0,False,
STR-001,2025-03-31,5,0,False,
STR-001,2025-03-31,6,4,False,
STR-001,2025-03-31,7,2,False,
STR-001,2025-03-31,8,4,False,
STR-001,2025-03-31,9,5,False,
STR-001,2025-03-31,10,5,False,
STR-001,2025-03-31,11,4,False,
STR-001,2025-03-31,12,13,False,
STR-001,2025-03-31,13,11,False,
STR-001,2025-03-31,14,7,False,
STR-001,2025-03-31,15,8,False,
STR-001,2025-03-31,16,11,False,
STR-001,2025-03-31,17,9,False,
STR-001,2025-03-31,18,12,False,
STR-001,2025-03-31,19,10,False,
STR-001,2025-03-31,20,15,False,
STR-001,2025-03-31,21,4,False,
STR-001,2025-03-31,22,2,False,
STR-001,2025-03-31,23,2,False,
