store_id,city,forecast_datetime,hour_ahead,predicted_temp_c,precipitation_probability_pct,predicted_condition
STR-002,Chennai,2025-04-02T00:00:00,48,27.2,12,sunny
STR-003,Bengaluru,2025-03-31T01:00:00,1,27.0,5,sunny
STR-003,Bengaluru,2025-03-31T02:00:00,2,27.5,37,rainy
STR-003,Bengaluru,2025-03-31T03:00:00,3,28.9,1,sunny
STR-003,Bengaluru,2025-03-31T04:00:00,4,29.5,40,rainy
STR-003,Bengaluru,2025-03-31T05:00:00,5,32.1,6,sunny
STR-003,Bengaluru,2025-03-31T06:00:00,6,27.0,13,sunny
STR-003,Bengaluru,2025-03-31T07:00:00,7,31.0,2,sunny
STR-003,Bengaluru,2025-03-31T08:00:00,8,28.6,8,sunny
STR-003,Bengaluru,2025-03-31T09:00:00,9,28.9,0,sunny
STR-003,Bengaluru,2025-03-31T10:00:00,10,30.3,23,cloudy
STR-003,Bengaluru,2025-03-31T11:00:00,11,26.8,26,cloudy
STR-003,Bengaluru,2025-03-31T12:00:00,12,29.8,36,rainy
STR-003,Bengaluru,2025-03-31T13:00:00,13,29.3,34,cloudy
STR-003,Bengaluru,2025-03-31T14:00:00,14,30.0,4,sunny
STR-003,Bengaluru,2025-03-31T15:00:00,15,29.6,21,cloudy
STR-003,Bengaluru,2025-03-31T16:00:00,16,33.9,11,sunny
STR-003,Bengaluru,2025-03-31T17:00:00,17,27.7,33,cloudy
STR-003,Bengaluru,2025-03-31T18:00:00,18,27.9,31,cloudy
STR-003,Bengaluru,2025-03-31T19:00:00,19,27.8,12,sunny
STR-003,Bengaluru,2025-03-31T20:00:00,20,27.9,13,sunny
STR-003,Bengaluru,2025-03-31T21:00:00,21,27.7,36,rainy
STR-003,Bengaluru,2025-03-31T22:00:00,22,31.4,30,cloudy
STR-003,Bengaluru,2025-03-31T23:00:00,23,31.8,32,cloudy
STR-003,Bengaluru,2025-04-01T00:00:00,24,27.9,22,cloudy
STR-003,Bengaluru,2025-04-01T01:00:00,25,27.3,22,cloudy
STR-003,Bengaluru,2025-04-01T02:00:00,26,29.9,39,rainy
STR-003,Bengaluru,2025-04-01T03:00:00,27,27.9,35,rainy
STR-003,Bengaluru,2025-04-01T04:00:00,28,30.3,8,sunny
STR-003,Bengaluru,2025-04-01T05:00:00,29,29.4,4,sunny
STR-003,Bengaluru,2025-04-01T06:00:00,30,26.0,28,cloudy
STR-003,Bengaluru,2025-04-01T07:00:00,31,32.1,27,cloudy
STR-003,Bengaluru,2025-04-01T08:00:00,32,32.6,40,rainy
STR-003,Bengaluru,2025-04-01T09:00:00,33,27.8,24,cloudy
STR-003,Bengaluru,2025-04-01T10:00:00,34,28.2,4,sunny
STR-003,Bengaluru,2025-04-01T11:00:00,35,29.6,36,rainy
STR-003,Bengaluru,2025-04-01T12:00:00,36,29.7,5,sunny
STR-003,Bengaluru,2025-04-01T13:00:00,37,30.3,8,sunny
STR-003,Bengaluru,2025-04-01T14:00:00,38,33.0,33,cloudy
STR-003,Bengaluru,2025-04-01T15:00:00,39,28.6,19,sunny
STR-003,Bengaluru,2025-04-01T16:00:00,40,27.4,6,sunny
STR-003,Bengaluru,2025-04-01T17:00:00,41,26.2,7,sunny
STR-003,Bengaluru,2025-04-01T18:00:00,42,27.5,31,cloudy
STR-003,Bengaluru,2025-04-01T19:00:00,43,28.9,14,sunny
STR-003,Bengaluru,2025-04-01T20:00:00,44,32.6,3,sunny
STR-003,Bengaluru,2025-04-01T21:00:00,45,28.0,38,rainy
STR-003,Bengaluru,2025-04-01T22:00:00,46,29.4,34,cloudy
STR-003,Bengaluru,2025-04-01T23:00:00,47,29.0,21,cloudy
STR-003,Bengaluru,2025-04-02T00:00:00,48,31.4,1,sunny
STR-004,Bengaluru,2025-03-31T01:00:00,1,34.1,14,sunny
STR-004,Bengaluru,2025-03-31T02:00:00,2,27.9,18,sunny
STR-004,Bengaluru,2025-03-31T03:00:00,3,28.0,16,sunny
STR-004,Bengaluru,2025-03-31T04:00:00,4,31.1,24,cloudy
STR-004,Bengaluru,2025-03-31T05:00:00,5,30.4,22,cloudy
STR-004,Bengaluru,2025-03-31T06:00:00,6,32.7,4,sunny
STR-004,Bengaluru,2025-03-31T07:00:00,7,30.2,10,sunny
STR-004,Bengaluru,2025-03-31T08:00:00,8,28.3,18,sunny
STR-004,Bengaluru,2025-03-31T09:00:00,9,30.2,4,sunny
STR-004,Bengaluru,2025-03-31T10:00:00,10,31.2,34,cloudy
STR-004,Bengaluru,2025-03-31T11:00:00,11,30.6,36,rainy
STR-004,Bengaluru,2025-03-31T12:00:00,12,30.0,15,sunny
STR-004,Bengaluru,2025-03-31T13:00:00,13,31.1,33,cloudy
STR-004,Bengaluru,2025-03-31T14:00:00,14,31.3,39,rainy
STR-004,Bengaluru,2025-03-31T15:00:00,15,31.8,32,cloudy
STR-004,Bengaluru,2025-03-31T16:00:00,16,30.3,19,sunny
STR-004,Bengaluru,2025-03-31T17:00:00,17,28.7,25,cloudy
STR-004,Bengaluru,2025-03-31T18:00:00,18,29.3,39,rainy
STR-004,Bengaluru,2025-03-31T19:00:00,19,31.4,3,sunny
STR-004,Bengaluru,2025-03-31T20:00:00,20,27.4,34,cloudy
STR-004,Bengaluru,2025-03-31T21:00:00,21,29.7,7,sunny
STR-004,Bengaluru,2025-03-31T22:00:00,22,28.2,37,rainy
STR-004,Bengaluru,2025-03-31T23:00:00,23,29.1,30,cloudy
STR-004,Bengaluru,2025-04-01T00:00:00,24,31.6,16,sunny
STR-004,Bengaluru,2025-04-01T01:00:00,25,29.4,1,sunny
STR-004,Bengaluru,2025-04-01T02:00:00,26,29.1,2,sunny
STR-004,Bengaluru,2025-04-01T03:00:00,27,26.3,21,cloudy
STR-004,Bengaluru,2025-04-01T04:00:00,28,30.5,26,cloudy
STR-004,Bengaluru,2025-04-01T05:00:00,29,30.3,16,sunny
STR-004,Bengaluru,2025-04-01T06:00:00,30,33.3,12,sunny
STR-004,Bengaluru,2025-04-01T07:00:00,31,28.4,21,cloudy
STR-004,Bengaluru,2025-04-01T08:00:00,32,29.4,3,sunny
STR-004,Bengaluru,2025-04-01T09:00:00,33,29.5,8,sunny
STR-004,Bengaluru,2025-04-01T10:00:00,34,32.2,13,sunny
STR-004,Bengaluru,2025-04-01T11:00:00,35,28.8,35,rainy
STR-004,Bengaluru,2025-04-01T12:00:00,36,29.6,21,cloudy
STR-004,Bengaluru,2025-04-01T13:00:00,37,30.2,3,sunny
STR-004,Bengaluru,2025-04-01T14:00:00,38,29.4,15,sunny
STR-004,Bengaluru,2025-04-01T15:00:00,39,28.1,31,cloudy
STR-004,Bengaluru,2025-04-01T16:00:00,40,29.4,4,sunny
STR-004,Bengaluru,2025-04-01T17:00:00,41,31.1,36,rainy
STR-004,Bengaluru,2025-04-01T18:00:00,42,26.9,39,rainy
STR-004,Bengaluru,2025-04-01T19:00:00,43,29.3,2,sunny
STR-004,Bengaluru,2025-04-01T20:00:00,44,27.6,22,cloudy
STR-004,Bengaluru,2025-04-01T21:00:00,45,31.4,4,sunny
STR-004,Bengaluru,2025-04-01T22:00:00,46,26.0,26,cloudy
STR-004,Bengaluru,2025-04-01T23:00:00,47,27.9,38,rainy
STR-004,Bengaluru,2025-04-02T00:00:00,48,29.8,39,rainy
STR-005,Pune,2025-03-31T01:00:00,1,31.1,5,sunny
STR-005,Pune,2025-03-31T02:00:00,2,27.9,35,rainy
STR-005,Pune,2025-03-31T03:00:00,3,26.9,30,cloudy
STR-005,Pune,2025-03-31T04:00:00,4,31.8,8,sunny
STR-005,Pune,2025-03-31T05:00:00,5,25.1,17,sunny
STR-005,Pune,2025-03-31T06:00:00,6,23.6,2,sunny
STR-005,Pune,2025-03-31T07:00:00,7,28.9,6,sunny
STR-005,Pune,2025-03-31T08:00:00,8,27.0,2,sunny
STR-005,Pune,2025-03-31T09:00:00,9,26.0,31,cloudy
STR-005,Pune,2025-03-31T10:00:00,10,29.4,32,cloudy
STR-005,Pune,2025-03-31T11:00:00,11,28.5,14,sunny
STR-005,Pune,2025-03-31T12:00:00,12,26.9,22,cloudy
STR-005,Pune,2025-03-31T13:00:00,13,25.4,27,cloudy
STR-005,Pune,2025-03-31T14:00:00,14,29.7,30,cloudy
STR-005,Pune,2025-03-31T15:00:00,15,29.3,19,sunny
STR-005,Pune,2025-03-31T16:00:00,16,27.8,14,sunny
STR-005,Pune,2025-03-31T17:00:00,17,31.7,1,sunny
STR-005,Pune,2025-03-31T18:00:00,18,25.9,3,sunny
STR-005,Pune,2025-03-31T19:00:00,19,24.9,1,sunny
STR-005,Pune,2025-03-31T20:00:00,20,26.6,12,sunny
STR-005,Pune,2025-03-31T21:00:00,21,27.9,34,cloudy
STR-005,Pune,2025-03-31T22:00:00,22,28.5,38,rainy
STR-005,Pune,2025-03-31T23:00:00,23,27.5,24,cloudy
STR-005,Pune,2025-04-01T00:00:00,24,28.7,1,sunny
STR-005,Pune,2025-04-01T01:00:00,25,25.5,35,rainy
STR-005,Pune,2025-04-01T02:00:00,26,30.9,30,cloudy
STR-005,Pune,2025-04-01T03:00:00,27,27.8,3,sunny
STR-005,Pune,2025-04-01T04:00:00,28,30.2,24,cloudy
STR-005,Pune,2025-04-01T05:00:00,29,28.7,24,cloudy
STR-005,Pune,2025-04-01T06:00:00,30,28.9,8,sunny
STR-005,Pune,2025-04-01T07:00:00,31,29.1,27,cloudy
STR-005,Pune,2025-04-01T08:00:00,32,28.9,27,cloudy
STR-005,Pune,2025-04-01T09:00:00,33,29.3,35,rainy
STR-005,Pune,2025-04-01T10:00:00,34,30.7,8,sunny
STR-005,Pune,2025-04-01T11:00:00,35,28.4,7,sunny
STR-005,Pune,2025-04-01T12:00:00,36,29.4,28,cloudy
STR-005,Pune,2025-04-01T13:00:00,37,27.8,7,sunny
STR-005,Pune,2025-04-01T14:00:00,38,30.9,39,rainy
STR-005,Pune,2025-04-01T15:00:00,39,26.6,23,cloudy
STR-005,Pune,2025-04-01T16:00:00,40,31.6,22,cloudy
STR-005,Pune,2025-04-01T17:00:00,41,27.9,12,sunny
STR-005,Pune,2025-04-01T18:00:00,42,25.1,21,cloudy
STR-005,Pune,2025-04-01T19:00:00,43,28.3,27,cloudy
STR-005,Pune,2025-04-01T20:00:00,44,26.6,3,sunny
STR-005,Pune,2025-04-01T21:00:00,45,29.7,15,sunny
STR-005,Pune,2025-04-01T22:00:00,46,26.7,14,sunny
STR-005,Pune,2025-04-01T23:00:00,47,27.1,5,sunny
STR-005,Pune,2025-04-02T00:00:00,48,24.2,37,rainy
STR-006,Pune,2025-03-31T01:00:00,1,27.1,0,sunny
STR-006,Pune,2025-03-31T02:00:00,2,23.2,14,sunny
STR-006,Pune,2025-03-31T03:00:00,3,24.8,26,cloudy
STR-006,Pune,2025-03-31T04:00:00,4,29.5,34,cloudy
STR-006,Pune,2025-03-31T05:00:00,5,29.6,36,rainy
STR-006,Pune,2025-03-31T06:00:00,6,28.9,2,sunny
STR-006,Pune,2025-03-31T07:00:00,7,26.1,0,sunny
STR-006,Pune,2025-03-31T08:00:00,8,27.9,15,sunny
STR-006,Pune,2025-03-31T09:00:00,9,28.0,3,sunny
STR-006,Pune,2025-03-31T10:00:00,10,25.7,4,sunny
STR-006,Pune,2025-03-31T11:00:00,11,31.0,3,sunny
STR-006,Pune,2025-03-31T12:00:00,12,29.8,8,sunny
STR-006,Pune,2025-03-31T13:00:00,13,27.6,28,cloudy
STR-006,Pune,2025-03-31T14:00:00,14,28.1,11,sunny
STR-006,Pune,2025-03-31T15:00:00,15,28.4,18,sunny
STR-006,Pune,2025-03-31T16:00:00,16,23.9,2,sunny
STR-006,Pune,2025-03-31T17:00:00,17,27.5,20,cloudy
STR-006,Pune,2025-03-31T18:00:00,18,26.6,22,cloudy
STR-006,Pune,2025-03-31T19:00:00,19,26.0,38,rainy
STR-006,Pune,2025-03-31T20:00:00,20,27.4,15,sunny
STR-006,Pune,2025-03-31T21:00:00,21,31.6,18,sunny
STR-006,Pune,2025-03-31T22:00:00,22,29.3,8,sunny
STR-006,Pune,2025-03-31T23:00:00,23,26.9,38,rainy
STR-006,Pune,2025-04-01T00:00:00,24,29.1,25,cloudy
STR-006,Pune,2025-04-01T01:00:00,25,30.8,30,cloudy
STR-006,Pune,2025-04-01T02:00:00,26,29.8,7,sunny
STR-006,Pune,2025-04-01T03:00:00,27,28.1,4,sunny
STR-006,Pune,2025-04-01T04:00:00,28,26.7,4,sunny
STR-006,Pune,2025-04-01T05:00:00,29,29.4,16,sunny
STR-006,Pune,2025-04-01T06:00:00,30,28.8,34,cloudy
STR-006,Pune,2025-04-01T07:00:00,31,29.8,13,sunny
STR-006,Pune,2025-04-01T08:00:00,32,29.3,31,cloudy
STR-006,Pune,2025-04-01T09:00:00,33,30.1,22,cloudy
STR-006,Pune,2025-04-01T10:00:00,34,26.9,14,sunny
STR-006,Pune,2025-04-01T11:00:00,35,30.6,28,cloudy
STR-006,Pune,2025-04-01T12:00:00,36,28.4,19,sunny
STR-006,Pune,2025-04-01T13:00:00,37,32.2,23,cloudy
STR-006,Pune,2025-04-01T14:00:00,38,26.6,35,rainy
STR-006,Pune,2025-04-01T15:00:00,39,31.5,18,sunny
STR-006,Pune,2025-04-01T16:00:00,40,28.4,15,sunny
STR-006,Pune,2025-04-01T17:00:00,41,26.7,33,cloudy
STR-006,Pune,2025-04-01T18:00:00,42,27.0,17,sunny
STR-006,Pune,2025-04-01T19:00:00,43,27.4,20,cloudy
STR-006,Pune,2025-04-01T20:00:00,44,28.8,34,cloudy
STR-006,Pune,2025-04-01T21:00:00,45,29.0,32,cloudy
STR-006,Pune,2025-04-01T22:00:00,46,26.9,6,sunny
STR-006,Pune,2025-04-01T23:00:00,47,28.0,3,sunny
STR-006,Pune,2025-04-02T00:00:00,48,32.3,22,cloudy
