batch_id,store_id,sku_id,quantity_received,quantity_on_hand,received_date,expiry_date,current_price_inr,shelf_section
BAT-001981,STR-005,SKU-0061,21,21,2024-10-08,2025-05-23,139.5,Refrigerated
BAT-002290,STR-006,SKU-0014,107,107,2024-10-08,2024-10-18,91.5,Checkout Display
BAT-002604,STR-006,SKU-0118,105,105,2024-10-08,2024-10-11,327.0,Frozen
BAT-002698,STR-006,SKU-0150,85,85,2024-10-08,2024-10-13,56.0,Aisle-B
BAT-000161,STR-001,SKU-0054,6,6,2024-10-09,2025-07-18,98.0,Bulk Bins
BAT-000530,STR-002,SKU-0027,49,49,2024-10-09,2024-10-11,52.5,Frozen
BAT-000602,STR-002,SKU-0051,43,43,2024-10-09,2025-05-02,164.0,Refrigerated
BAT-000732,STR-002,SKU-0094,50,50,2024-10-09,2025-03-04,42.5,Produce Rack
BAT-001095,STR-003,SKU-0065,76,76,2024-10-09,2025-01-27,63.5,Checkout Display
BAT-001280,STR-003,SKU-0127,50,50,2024-10-09,2024-10-11,330.0,Refrigerated
BAT-001361,STR-004,SKU-0004,58,58,2024-10-09,2024-10-18,115.0,Checkout Display
BAT-001652,STR-004,SKU-0101,30,30,2024-10-09,2025-06-09,176.0,Bulk Bins
BAT-001661,STR-004,SKU-0104,26,26,2024-10-09,2025-07-05,104.5,Refrigerated
BAT-001789,STR-004,SKU-0147,52,52,2024-10-09,2024-10-11,86.0,Aisle-B
BAT-001957,STR-005,SKU-0053,30,30,2024-10-09,2025-05-19,124.5,Frozen
BAT-002699,STR-006,SKU-0150,109,109,2024-10-09,2024-10-14,75.0,Aisle-A
BAT-000144,STR-001,SKU-0048,27,27,2024-10-10,2024-10-13,152.5,Frozen
BAT-000316,STR-001,SKU-0106,24,24,2024-10-10,2026-02-12,192.0,Frozen
BAT-000724,STR-002,SKU-0092,46,46,2024-10-10,2025-01-29,64.5,Frozen
BAT-000766,STR-002,SKU-0106,52,52,2024-10-10,2026-02-12,125.0,Aisle-A
BAT-000946,STR-003,SKU-0016,60,60,2024-10-10,2024-10-18,110.5,Aisle-A
BAT-001175,STR-003,SKU-0092,57,57,2024-10-10,2025-01-29,48.5,Aisle-B
BAT-001210,STR-003,SKU-0104,64,64,2024-10-10,2025-07-06,139.5,Produce Rack
BAT-001547,STR-004,SKU-0066,22,22,2024-10-10,2025-01-24,41.0,Aisle-A
BAT-001599,STR-004,SKU-0083,55,55,2024-10-10,2025-01-09,60.5,Aisle-B
BAT-001756,STR-004,SKU-0136,21,21,2024-10-10,2025-01-03,167.5,Bulk Bins
BAT-002142,STR-005,SKU-0114,9,9,2024-10-10,2024-10-11,342.0,Refrigerated
BAT-002373,STR-006,SKU-0041,40,40,2024-10-10,2024-10-13,84.5,Produce Rack
BAT-002596,STR-006,SKU-0116,60,60,2024-10-10,2024-10-13,500.0,Produce Rack
BAT-002640,STR-006,SKU-0130,106,106,2024-10-10,2024-12-04,70.5,Aisle-A
BAT-002678,STR-006,SKU-0143,115,115,2024-10-10,2024-11-20,49.0,Frozen
BAT-002687,STR-006,SKU-0146,31,31,2024-10-10,2024-10-13,211.5,Bulk Bins
BAT-000295,STR-001,SKU-0099,14,14,2024-10-11,2025-04-09,182.0,Bulk Bins
BAT-000418,STR-001,SKU-0140,10,10,2024-10-11,2024-12-13,173.5,Bulk Bins
BAT-000682,STR-002,SKU-0078,68,68,2024-10-11,2025-01-16,48.0,Aisle-B
BAT-000836,STR-002,SKU-0129,39,39,2024-10-11,2024-10-23,149.0,Checkout Display
BAT-000868,STR-002,SKU-0140,63,63,2024-10-11,2024-12-13,173.5,Refrigerated
BAT-001241,STR-003,SKU-0114,63,63,2024-10-11,2024-10-12,208.5,Bulk Bins
BAT-001368,STR-004,SKU-0006,40,40,2024-10-11,2024-10-20,97.0,Frozen
BAT-001873,STR-005,SKU-0025,20,20,2024-10-11,2024-10-13,80.0,Produce Rack
BAT-002465,STR-006,SKU-0072,65,65,2024-10-11,2024-12-06,92.0,Aisle-B
BAT-000206,STR-001,SKU-0069,18,18,2024-10-12,2024-12-14,67.0,Bulk Bins
BAT-000230,STR-001,SKU-0077,19,19,2024-10-12,2024-11-22,128.0,Produce Rack
BAT-000348,STR-001,SKU-0116,5,5,2024-10-12,2024-10-15,395.0,Bulk Bins
BAT-000790,STR-002,SKU-0114,69,69,2024-10-12,2024-10-13,253.0,Aisle-B
BAT-000886,STR-002,SKU-0146,52,52,2024-10-12,2024-10-15,278.0,Checkout Display
BAT-000961,STR-003,SKU-0021,34,34,2024-10-12,2024-10-17,120.0,Produce Rack
BAT-001025,STR-003,SKU-0042,41,41,2024-10-12,2024-10-17,30.5,Bulk Bins
BAT-001107,STR-003,SKU-0069,76,76,2024-10-12,2024-12-14,86.0,Refrigerated
BAT-001183,STR-003,SKU-0095,30,30,2024-10-12,2025-01-13,62.5,Checkout Display
BAT-001502,STR-004,SKU-0051,66,66,2024-10-12,2025-05-05,124.5,Checkout Display
BAT-001519,STR-004,SKU-0057,32,32,2024-10-12,2025-08-30,116.0,Produce Rack
BAT-001597,STR-004,SKU-0083,55,55,2024-10-12,2025-01-11,60.5,Frozen
BAT-001656,STR-004,SKU-0102,40,40,2024-10-12,2025-09-24,134.0,Produce Rack
BAT-001811,STR-005,SKU-0004,19,19,2024-10-12,2024-10-21,115.0,Checkout Display
BAT-001955,STR-005,SKU-0052,21,21,2024-10-12,2025-04-13,129.5,Refrigerated
BAT-002079,STR-005,SKU-0093,20,20,2024-10-12,2025-03-19,26.5,Aisle-A
BAT-002220,STR-005,SKU-0140,21,21,2024-10-12,2024-12-14,173.5,Frozen
BAT-002473,STR-006,SKU-0075,30,30,2024-10-12,2025-03-20,98.0,Aisle-B
BAT-002483,STR-006,SKU-0078,105,105,2024-10-12,2025-01-17,48.0,Checkout Display
BAT-002613,STR-006,SKU-0121,144,144,2024-10-12,2024-10-14,232.5,Checkout Display
BAT-002628,STR-006,SKU-0126,109,109,2024-10-12,2024-10-15,208.0,Aisle-A
BAT-000103,STR-001,SKU-0035,15,15,2024-10-13,2024-10-20,108.0,Refrigerated
BAT-000138,STR-001,SKU-0046,6,6,2024-10-13,2024-10-18,140.5,Frozen
BAT-000199,STR-001,SKU-0067,12,12,2024-10-13,2024-11-30,117.5,Produce Rack
BAT-000287,STR-001,SKU-0096,25,25,2024-10-13,2024-12-16,89.0,Refrigerated
BAT-000291,STR-001,SKU-0097,16,16,2024-10-13,2025-09-18,135.0,Bulk Bins
BAT-000378,STR-001,SKU-0126,6,6,2024-10-13,2024-10-16,139.5,Frozen
BAT-000888,STR-002,SKU-0146,16,16,2024-10-13,2024-10-16,278.0,Checkout Display
BAT-001027,STR-003,SKU-0043,20,20,2024-10-13,2024-10-19,76.0,Refrigerated
BAT-001056,STR-003,SKU-0052,69,69,2024-10-13,2025-04-14,129.5,Bulk Bins
BAT-001208,STR-003,SKU-0103,31,31,2024-10-13,2025-07-18,162.0,Aisle-A
BAT-001260,STR-003,SKU-0120,44,44,2024-10-13,2024-10-15,545.0,Refrigerated
BAT-001320,STR-003,SKU-0140,36,36,2024-10-13,2024-12-15,173.5,Produce Rack
BAT-001507,STR-004,SKU-0053,46,46,2024-10-13,2025-05-23,163.5,Aisle-B
BAT-001658,STR-004,SKU-0103,23,23,2024-10-13,2025-07-18,162.0,Aisle-A
BAT-002202,STR-005,SKU-0134,7,7,2024-10-13,2024-12-13,135.5,Frozen
BAT-002295,STR-006,SKU-0015,133,133,2024-10-13,2024-10-18,98.5,Checkout Display
BAT-002547,STR-006,SKU-0099,107,107,2024-10-13,2025-04-11,182.0,Frozen
BAT-000360,STR-001,SKU-0120,14,14,2024-10-14,2024-10-16,545.0,Bulk Bins
BAT-000367,STR-001,SKU-0123,14,14,2024-10-14,2024-10-17,356.0,Bulk Bins
BAT-000466,STR-002,SKU-0006,46,46,2024-10-14,2024-10-23,97.0,Frozen
BAT-000812,STR-002,SKU-0121,61,61,2024-10-14,2024-10-16,232.5,Refrigerated
BAT-000818,STR-002,SKU-0123,35,35,2024-10-14,2024-10-17,356.0,Bulk Bins
BAT-000871,STR-002,SKU-0141,29,29,2024-10-14,2025-01-01,115.5,Frozen
BAT-000928,STR-003,SKU-0010,70,70,2024-10-14,2024-10-21,75.5,Frozen
BAT-001170,STR-003,SKU-0090,17,17,2024-10-14,2025-01-10,79.5,Aisle-A
BAT-001250,STR-003,SKU-0117,66,66,2024-10-14,2024-10-15,374.5,Frozen
BAT-001310,STR-003,SKU-0137,39,39,2024-10-14,2024-12-17,98.5,Frozen
BAT-001332,STR-003,SKU-0144,28,28,2024-10-14,2024-11-23,129.0,Aisle-B
BAT-001385,STR-004,SKU-0012,28,28,2024-10-14,2024-10-23,95.0,Aisle-A
BAT-001593,STR-004,SKU-0081,33,33,2024-10-14,2024-12-31,58.5,Frozen
BAT-001639,STR-004,SKU-0097,52,52,2024-10-14,2025-09-19,135.0,Checkout Display
BAT-001781,STR-004,SKU-0144,66,66,2024-10-14,2024-11-23,129.0,Produce Rack
BAT-001845,STR-005,SKU-0015,22,22,2024-10-14,2024-10-19,60.0,Aisle-A
BAT-001958,STR-005,SKU-0053,14,14,2024-10-14,2025-05-24,163.5,Aisle-B
BAT-002403,STR-006,SKU-0051,51,51,2024-10-14,2025-05-07,164.0,Bulk Bins
BAT-000035,STR-001,SKU-0012,9,9,2024-10-15,2024-10-24,67.5,Refrigerated
BAT-000270,STR-001,SKU-0090,17,17,2024-10-15,2025-01-11,79.5,Aisle-B
BAT-000527,STR-002,SKU-0026,27,27,2024-10-15,2024-10-19,100.0,Bulk Bins
BAT-000845,STR-002,SKU-0132,24,24,2024-10-15,2025-01-10,118.5,Aisle-B
BAT-000904,STR-003,SKU-0002,16,16,2024-10-15,2024-10-21,76.0,Aisle-B
BAT-000916,STR-003,SKU-0006,43,43,2024-10-15,2024-10-24,97.0,Refrigerated
BAT-000962,STR-003,SKU-0021,53,53,2024-10-15,2024-10-20,120.0,Produce Rack
BAT-001144,STR-003,SKU-0082,18,18,2024-10-15,2025-04-08,38.0,Produce Rack
BAT-001534,STR-004,SKU-0062,61,61,2024-10-15,2025-06-12,144.5,Frozen
BAT-001770,STR-004,SKU-0140,38,38,2024-10-15,2024-12-17,173.5,Bulk Bins
BAT-001870,STR-005,SKU-0024,15,15,2024-10-15,2024-10-19,87.0,Checkout Display
BAT-002048,STR-005,SKU-0083,15,15,2024-10-15,2025-01-14,60.5,Aisle-B
BAT-002223,STR-005,SKU-0141,26,26,2024-10-15,2025-01-02,115.5,Bulk Bins
BAT-002227,STR-005,SKU-0143,25,25,2024-10-15,2024-11-25,49.0,Aisle-B
BAT-002350,STR-006,SKU-0034,45,45,2024-10-15,2024-10-18,110.0,Checkout Display
BAT-002409,STR-006,SKU-0053,147,147,2024-10-15,2025-05-25,163.5,Refrigerated
BAT-002467,STR-006,SKU-0073,78,78,2024-10-15,2025-04-04,135.5,Refrigerated
BAT-000200,STR-001,SKU-0067,5,5,2024-10-16,2024-12-03,117.5,Aisle-B
BAT-000448,STR-001,SKU-0150,19,19,2024-10-16,2024-10-21,51.0,Produce Rack
BAT-000449,STR-001,SKU-0150,22,22,2024-10-16,2024-10-21,75.0,Bulk Bins
BAT-000468,STR-002,SKU-0006,32,32,2024-10-16,2024-10-25,97.0,Refrigerated
BAT-000735,STR-002,SKU-0095,43,43,2024-10-16,2025-01-17,62.5,Bulk Bins
BAT-000943,STR-003,SKU-0015,40,40,2024-10-16,2024-10-21,98.5,Bulk Bins
BAT-001077,STR-003,SKU-0059,37,37,2024-10-16,2025-09-10,121.0,Frozen
BAT-001176,STR-003,SKU-0092,49,49,2024-10-16,2025-02-04,64.5,Aisle-A
BAT-001216,STR-003,SKU-0106,49,49,2024-10-16,2026-02-18,192.0,Checkout Display
BAT-001358,STR-004,SKU-0003,53,53,2024-10-16,2024-10-21,95.5,Checkout Display
BAT-002071,STR-005,SKU-0091,12,12,2024-10-16,2025-01-23,56.0,Bulk Bins
BAT-000049,STR-001,SKU-0017,10,10,2024-10-17,2024-10-21,113.0,Produce Rack
BAT-000394,STR-001,SKU-0132,27,27,2024-10-17,2025-01-12,76.0,Refrigerated
BAT-000444,STR-001,SKU-0148,22,22,2024-10-17,2024-12-05,113.0,Aisle-B
BAT-000472,STR-002,SKU-0008,37,37,2024-10-17,2024-10-27,37.0,Frozen
BAT-000618,STR-002,SKU-0056,50,50,2024-10-17,2025-06-27,156.5,Aisle-B
BAT-000945,STR-003,SKU-0015,52,52,2024-10-17,2024-10-22,98.5,Produce Rack
BAT-001992,STR-005,SKU-0064,15,15,2024-10-17,2025-09-11,116.0,Frozen
BAT-002331,STR-006,SKU-0027,133,133,2024-10-17,2024-10-19,52.5,Bulk Bins
BAT-000334,STR-001,SKU-0112,14,14,2024-10-18,2025-05-23,152.0,Checkout Display
BAT-000584,STR-002,SKU-0045,28,28,2024-10-18,2024-10-24,108.0,Produce Rack
BAT-000809,STR-002,SKU-0120,54,54,2024-10-18,2024-10-20,545.0,Frozen
BAT-000986,STR-003,SKU-0029,20,20,2024-10-18,2024-10-22,109.5,Aisle-A
BAT-001516,STR-004,SKU-0056,30,30,2024-10-18,2025-06-28,156.5,Bulk Bins
BAT-001681,STR-004,SKU-0111,61,61,2024-10-18,2025-04-28,116.0,Refrigerated
BAT-001768,STR-004,SKU-0140,60,60,2024-10-18,2024-12-20,173.5,Checkout Display
BAT-001877,STR-005,SKU-0026,13,13,2024-10-18,2024-10-22,100.0,Frozen
BAT-001993,STR-005,SKU-0065,20,20,2024-10-18,2025-02-05,76.0,Aisle-A
BAT-002044,STR-005,SKU-0082,25,25,2024-10-18,2025-04-11,38.0,Aisle-A
BAT-002278,STR-006,SKU-0010,73,73,2024-10-18,2024-10-25,49.0,Frozen
BAT-002313,STR-006,SKU-0021,112,112,2024-10-18,2024-10-23,120.0,Checkout Display
BAT-000080,STR-001,SKU-0027,13,13,2024-10-19,2024-10-21,52.5,Bulk Bins
BAT-001085,STR-003,SKU-0062,26,26,2024-10-19,2025-06-16,144.5,Checkout Display
BAT-001167,STR-003,SKU-0089,38,38,2024-10-19,2024-12-31,46.0,Frozen
BAT-001270,STR-003,SKU-0124,64,64,2024-10-19,2024-10-21,169.0,Checkout Display
BAT-001337,STR-003,SKU-0146,69,69,2024-10-19,2024-10-22,278.0,Aisle-A
BAT-001468,STR-004,SKU-0040,16,16,2024-10-19,2024-10-26,28.5,Produce Rack
BAT-001490,STR-004,SKU-0047,43,43,2024-10-19,2024-10-22,139.0,Bulk Bins
BAT-001572,STR-004,SKU-0074,41,41,2024-10-19,2025-02-13,66.0,Produce Rack
BAT-001632,STR-004,SKU-0094,61,61,2024-10-19,2025-03-14,53.0,Produce Rack
BAT-001690,STR-004,SKU-0114,78,78,2024-10-19,2024-10-20,342.0,Aisle-B
BAT-001723,STR-004,SKU-0125,75,75,2024-10-19,2024-10-22,253.0,Refrigerated
BAT-002074,STR-005,SKU-0092,15,15,2024-10-19,2025-02-07,64.5,Frozen
BAT-002556,STR-006,SKU-0102,44,44,2024-10-19,2025-10-01,176.5,Checkout Display
BAT-000111,STR-001,SKU-0037,19,19,2024-10-20,2024-10-24,157.0,Produce Rack
BAT-000324,STR-001,SKU-0108,19,19,2024-10-20,2025-07-13,215.0,Checkout Display
BAT-000642,STR-002,SKU-0064,44,44,2024-10-20,2025-09-14,116.0,Checkout Display
BAT-000767,STR-002,SKU-0106,58,58,2024-10-20,2026-02-22,192.0,Frozen
BAT-000982,STR-003,SKU-0028,44,44,2024-10-20,2024-10-23,80.5,Frozen
BAT-001090,STR-003,SKU-0064,79,79,2024-10-20,2025-09-14,116.0,Aisle-A
BAT-001212,STR-003,SKU-0104,16,16,2024-10-20,2025-07-16,139.5,Aisle-B
BAT-001217,STR-003,SKU-0106,53,53,2024-10-20,2026-02-22,123.0,Produce Rack
BAT-001478,STR-004,SKU-0043,50,50,2024-10-20,2024-10-26,76.0,Frozen
BAT-001505,STR-004,SKU-0052,19,19,2024-10-20,2025-04-21,129.5,Frozen
BAT-001794,STR-004,SKU-0148,27,27,2024-10-20,2024-12-08,113.0,Aisle-A
BAT-001827,STR-005,SKU-0009,22,22,2024-10-20,2024-10-26,128.5,Frozen
BAT-002049,STR-005,SKU-0083,29,29,2024-10-20,2025-01-19,60.5,Frozen
BAT-002527,STR-006,SKU-0093,84,84,2024-10-20,2025-03-27,26.5,Checkout Display
BAT-002574,STR-006,SKU-0108,91,91,2024-10-20,2025-07-13,215.0,Bulk Bins
BAT-000043,STR-001,SKU-0015,10,10,2024-10-21,2024-10-26,68.0,Produce Rack
BAT-000094,STR-001,SKU-0032,20,20,2024-10-21,2024-10-25,47.5,Refrigerated
BAT-000214,STR-001,SKU-0072,21,21,2024-10-21,2024-12-16,92.0,Produce Rack
BAT-000219,STR-001,SKU-0073,10,10,2024-10-21,2025-04-10,135.5,Checkout Display
BAT-000227,STR-001,SKU-0076,25,25,2024-10-21,2024-12-03,138.0,Bulk Bins
BAT-000251,STR-001,SKU-0084,14,14,2024-10-21,2025-04-10,57.0,Aisle-A
BAT-000503,STR-002,SKU-0018,21,21,2024-10-21,2024-10-26,71.5,Frozen
BAT-000528,STR-002,SKU-0026,58,58,2024-10-21,2024-10-25,100.0,Produce Rack
BAT-000704,STR-002,SKU-0085,40,40,2024-10-21,2025-04-17,53.0,Aisle-A
BAT-000717,STR-002,SKU-0089,17,17,2024-10-21,2025-01-02,74.0,Aisle-B
BAT-000883,STR-002,SKU-0145,27,27,2024-10-21,2024-10-25,123.5,Checkout Display
BAT-000957,STR-003,SKU-0019,38,38,2024-10-21,2024-10-25,59.5,Checkout Display
BAT-001013,STR-003,SKU-0038,24,24,2024-10-21,2024-10-26,142.5,Bulk Bins
BAT-001239,STR-003,SKU-0113,56,56,2024-10-21,2024-10-22,411.0,Aisle-B
BAT-001476,STR-004,SKU-0042,73,73,2024-10-21,2024-10-26,30.5,Refrigerated
BAT-001640,STR-004,SKU-0097,80,80,2024-10-21,2025-09-26,135.0,Checkout Display
BAT-001720,STR-004,SKU-0124,42,42,2024-10-21,2024-10-23,169.0,Aisle-A
BAT-001724,STR-004,SKU-0125,53,53,2024-10-21,2024-10-24,253.0,Refrigerated
BAT-001818,STR-005,SKU-0006,12,12,2024-10-21,2024-10-30,97.0,Checkout Display
BAT-002485,STR-006,SKU-0079,150,150,2024-10-21,2025-03-09,91.5,Refrigerated
BAT-002497,STR-006,SKU-0083,51,51,2024-10-21,2025-01-20,60.5,Produce Rack
BAT-002553,STR-006,SKU-0101,130,130,2024-10-21,2025-06-21,139.0,Aisle-B
BAT-002576,STR-006,SKU-0109,31,31,2024-10-21,2026-03-02,176.5,Bulk Bins
BAT-000042,STR-001,SKU-0014,10,10,2024-10-22,2024-11-01,129.0,Produce Rack
BAT-000096,STR-001,SKU-0032,15,15,2024-10-22,2024-10-26,47.5,Bulk Bins
BAT-000194,STR-001,SKU-0065,13,13,2024-10-22,2025-02-09,104.0,Frozen
BAT-000306,STR-001,SKU-0102,15,15,2024-10-22,2025-10-04,176.5,Refrigerated
BAT-000442,STR-001,SKU-0148,21,21,2024-10-22,2024-12-10,113.0,Checkout Display
BAT-000514,STR-002,SKU-0022,19,19,2024-10-22,2024-10-25,74.0,Produce Rack
BAT-000665,STR-002,SKU-0072,80,80,2024-10-22,2024-12-17,92.0,Bulk Bins
BAT-000850,STR-002,SKU-0134,77,77,2024-10-22,2024-12-22,135.5,Aisle-B
BAT-001011,STR-003,SKU-0037,50,50,2024-10-22,2024-10-26,157.0,Aisle-B
BAT-001075,STR-003,SKU-0059,19,19,2024-10-22,2025-09-16,121.0,Frozen
BAT-001214,STR-003,SKU-0105,74,74,2024-10-22,2025-09-22,198.5,Aisle-A
BAT-001328,STR-003,SKU-0143,15,15,2024-10-22,2024-12-02,49.0,Produce Rack
BAT-001434,STR-004,SKU-0028,33,33,2024-10-22,2024-10-25,80.5,Produce Rack
BAT-001765,STR-004,SKU-0139,77,77,2024-10-22,2024-12-14,106.5,Frozen
BAT-001842,STR-005,SKU-0014,30,30,2024-10-22,2024-11-01,129.0,Aisle-B
BAT-001854,STR-005,SKU-0018,28,28,2024-10-22,2024-10-27,71.5,Refrigerated
BAT-001944,STR-005,SKU-0048,7,7,2024-10-22,2024-10-25,119.0,Frozen
BAT-002234,STR-005,SKU-0145,16,16,2024-10-22,2024-10-26,123.5,Aisle-B
BAT-000036,STR-001,SKU-0012,12,12,2024-10-23,2024-11-01,71.0,Produce Rack
BAT-000234,STR-001,SKU-0078,21,21,2024-10-23,2025-01-28,48.0,Aisle-A
